,framboids,nodules,undif,seds,Age
96,6,8,56,539,95
97,6,10,56,554,96
98,6,9,53,552,97
99,6,9,61,550,98
100,7,4,79,577,99
101,7,4,79,558,100
102,7,4,76,558,101
103,8,3,79,547,102
104,4,2,66,522,103
105,4,4,61,535,104
106,4,4,61,538,105
107,4,4,60,530,106
108,8,5,61,543,107
109,5,5,65,551,108
110,6,5,76,538,109
111,6,6,73,538,110
112,6,7,74,537,111
113,8,5,66,503,112
114,6,5,65,502,113
115,6,5,67,497,114
116,3,5,69,479,115
117,3,5,68,483,116
118,3,5,68,486,117
119,3,5,68,486,118
120,3,5,68,491,119
121,3,5,68,484,120
122,3,5,70,486,121
123,3,5,71,487,122
124,3,5,71,486,123
125,2,3,65,403,124
126,1,2,66,382,125
127,1,2,63,370,126
128,1,2,71,390,127
129,2,2,63,353,128
130,2,2,63,360,129
131,2,2,63,361,130
132,2,4,57,363,131
133,0,6,58,383,132
134,0,6,56,382,133
135,0,7,56,382,134
136,0,7,56,382,135
137,0,7,56,382,136
138,1,8,50,386,137
139,1,8,50,381,138
140,2,7,45,375,139
141,2,8,44,382,140
142,2,8,44,383,141
143,2,8,44,383,142
144,2,8,42,381,143
145,8,6,69,354,144
146,8,6,69,352,145
147,8,6,82,354,146
148,8,6,82,354,147
149,8,6,81,353,148
150,8,6,95,362,149
151,6,6,96,360,150
152,5,8,94,357,151
153,4,8,96,357,152
154,3,8,96,354,153
155,3,8,97,354,154
156,3,8,96,351,155
157,4,7,73,406,156
158,4,7,65,401,157
159,4,12,60,394,158
160,4,12,59,399,159
161,4,12,59,394,160
162,4,13,59,400,161
163,4,13,57,385,162
164,3,19,52,315,163
165,3,11,34,274,164
166,2,13,40,336,165
167,2,11,41,262,166
168,2,15,45,281,167
169,2,13,40,236,168
170,2,13,46,239,169
171,2,14,43,241,170
172,2,14,43,239,171
173,2,14,42,238,172
174,3,13,55,248,173
